
> radioos@0.1.0 dev
> next dev

▲ Next.js 16.3.1 (Turbopack)
- Local:         http://localhost:51397
- Network:       http://10.141.159.200:51397
- Environments: .env.local
✓ Ready in 1601ms
✓ Running next.config.ts took 161ms
 GET /login 200 in 919ms (next.js: 42ms, proxy.ts: 21ms, application-code: 857ms)
 GET /login?verified=true 200 in 911ms (next.js: 128ms, proxy.ts: 16ms, application-code: 767ms)
 GET /login 200 in 928ms (next.js: 40ms, proxy.ts: 15ms, application-code: 872ms)
 GET /login?verified=true 200 in 929ms (next.js: 105ms, proxy.ts: 15ms, application-code: 809ms)
 GET /login 200 in 969ms (next.js: 65ms, proxy.ts: 15ms, application-code: 888ms)
 GET /login?verified=true 200 in 975ms (next.js: 130ms, proxy.ts: 12ms, application-code: 833ms)
 GET /login 200 in 994ms (next.js: 44ms, proxy.ts: 15ms, application-code: 935ms)
 GET /login?verified=true 200 in 996ms (next.js: 106ms, proxy.ts: 16ms, application-code: 874ms)
 GET /login?verified=true 200 in 1038ms (next.js: 42ms, proxy.ts: 22ms, application-code: 975ms)
 GET /login 200 in 1073ms (next.js: 174ms, proxy.ts: 21ms, application-code: 878ms)
 GET /login?verified=true 200 in 1379ms (next.js: 41ms, proxy.ts: 20ms, application-code: 1319ms)
 GET /login 200 in 1367ms (next.js: 113ms, proxy.ts: 17ms, application-code: 1237ms)
 GET /login?verified=true 200 in 1469ms (next.js: 55ms, proxy.ts: 26ms, application-code: 1388ms)
 GET /login 200 in 1495ms (next.js: 126ms, proxy.ts: 21ms, application-code: 1347ms)
 GET /login?verified=true 200 in 1748ms (next.js: 47ms, proxy.ts: 24ms, application-code: 1678ms)
 GET /login 200 in 1826ms (next.js: 131ms, proxy.ts: 18ms, application-code: 1677ms)
 GET /login?verified=true 200 in 1708ms (next.js: 124ms, proxy.ts: 21ms, application-code: 1563ms)
 GET /login 200 in 1694ms (next.js: 443ms, proxy.ts: 19ms, application-code: 1232ms)
